,item_nbr,family,class,perishable
0,96995,GROCERY I,1093,0
1,99197,GROCERY I,1067,0
3,103520,GROCERY I,1028,0
4,103665,BREAD/BAKERY,2712,1
5,105574,GROCERY I,1045,0
6,105575,GROCERY I,1045,0
8,105577,GROCERY I,1045,0
9,105693,GROCERY I,1034,0
10,105737,GROCERY I,1044,0
11,105857,GROCERY I,1092,0
12,106716,GROCERY I,1032,0
13,108079,GROCERY I,1030,0
14,108634,GROCERY I,1075,0
15,108696,DELI,2636,1
16,108698,DELI,2644,1
17,108701,DELI,2644,1
18,108786,CLEANING,3044,0
19,108797,GROCERY I,1004,0
20,108831,POULTRY,2416,1
22,108862,GROCERY I,1062,0
23,108952,CLEANING,3024,0
24,111223,GROCERY I,1034,0
25,111397,GROCERY I,1072,0
26,112830,GROCERY I,1044,0
27,114778,GROCERY I,1016,0
28,114790,GROCERY I,1004,0
29,114799,PERSONAL CARE,4126,0
30,114800,PERSONAL CARE,4126,0
31,115267,CLEANING,3034,0
32,115611,GROCERY I,1014,0
33,115693,GROCERY I,1040,0
34,115720,GROCERY I,1084,0
35,115847,LINGERIE,7034,0
36,115850,GROCERY I,1004,0
37,115891,GROCERY I,1016,0
38,115892,GROCERY I,1016,0
39,115893,GROCERY I,1016,0
40,115894,GROCERY I,1016,0
41,116017,GROCERY I,1072,0
42,116018,GROCERY I,1072,0
43,116279,GROCERY I,1056,0
44,116311,CLEANING,3090,0
45,119023,CLEANING,3026,0
46,119024,CLEANING,3026,0
47,119026,CLEANING,3026,0
48,119141,GROCERY I,1042,0
49,119187,CLEANING,3044,0
50,119191,CLEANING,3044,0
52,119624,BEVERAGES,1122,0
53,121964,AUTOMOTIVE,6810,0
54,122095,DAIRY,2124,1
56,122419,GROCERY I,1004,0
57,122425,CLEANING,3020,0
58,123347,DAIRY,2114,1
59,123601,GROCERY I,1072,0
60,123602,GROCERY I,1072,0
61,123927,GROCERY I,1026,0
62,125430,GROCERY I,1016,0
63,127534,GROCERY I,1032,0
64,127547,EGGS,2502,1
65,129296,GROCERY I,1032,0
66,129297,GROCERY I,1032,0
67,129635,DAIRY,2112,1
68,129758,GROCERY I,1032,0
70,153078,CLEANING,3008,0
71,153239,BREAD/BAKERY,2712,1
72,153267,GROCERY I,1096,0
73,153395,BREAD/BAKERY,2704,1
74,153398,BREAD/BAKERY,2708,1
75,155499,GROCERY I,1013,0
77,155600,GROCERY I,1034,0
78,155601,GROCERY I,1034,0
79,155607,GROCERY I,1034,0
80,155610,GROCERY I,1034,0
81,155621,GROCERY I,1062,0
82,155625,GROCERY I,1092,0
83,157956,GROCERY I,1030,0
84,158680,EGGS,2502,1
85,158788,CLEANING,3044,0
86,158789,CLEANING,3044,0
87,158842,DAIRY,2124,1
88,158875,GROCERY I,1026,0
89,158956,CLEANING,3038,0
90,159156,POULTRY,2416,1
91,159242,CLEANING,3026,0
92,161288,GROCERY I,1072,0
93,162066,GROCERY I,1048,0
94,164036,GROCERY I,1048,0
95,164037,GROCERY I,1048,0
96,164088,DAIRY,2116,1
97,164647,CLEANING,3032,0
98,165550,BEVERAGES,1124,0
99,165551,BEVERAGES,1124,0
100,165553,BEVERAGES,1124,0
101,165594,GROCERY I,1014,0
