,date,store_nbr,transactions
1,2013-01-02,1,2111
47,2013-01-03,1,1833
93,2013-01-04,1,1863
139,2013-01-05,1,1509
185,2013-01-06,1,520
231,2013-01-07,1,1807
277,2013-01-08,1,1869
323,2013-01-09,1,1910
369,2013-01-10,1,1679
415,2013-01-11,1,1813
461,2013-01-12,1,1473
507,2013-01-13,1,542
553,2013-01-14,1,1780
599,2013-01-15,1,1680
645,2013-01-16,1,1933
691,2013-01-17,1,1786
737,2013-01-18,1,1745
783,2013-01-19,1,1389
829,2013-01-20,1,507
875,2013-01-21,1,1770
921,2013-01-22,1,1762
967,2013-01-23,1,1873
1013,2013-01-24,1,1616
1059,2013-01-25,1,1770
1105,2013-01-26,1,1295
1151,2013-01-27,1,542
1197,2013-01-28,1,1738
1243,2013-01-29,1,1772
1289,2013-01-30,1,1877
1335,2013-01-31,1,1707
1381,2013-02-01,1,1806
1427,2013-02-02,1,1377
1473,2013-02-03,1,531
1519,2013-02-04,1,1714
1565,2013-02-05,1,1775
1611,2013-02-06,1,1853
1657,2013-02-07,1,1727
1703,2013-02-08,1,1878
1749,2013-02-09,1,1104
1795,2013-02-10,1,374
1841,2013-02-11,1,396
1887,2013-02-12,1,487
1933,2013-02-13,1,1921
1979,2013-02-14,1,2119
2025,2013-02-15,1,1787
2071,2013-02-16,1,1263
2117,2013-02-17,1,399
2163,2013-02-18,1,1742
2209,2013-02-19,1,1806
2255,2013-02-20,1,1835
2301,2013-02-21,1,1756
2347,2013-02-22,1,1805
2393,2013-02-23,1,1448
2439,2013-02-24,1,512
2485,2013-02-25,1,1760
2531,2013-02-26,1,1804
2577,2013-02-27,1,1845
2623,2013-02-28,1,1763
2669,2013-03-01,1,1916
2715,2013-03-02,1,1332
2761,2013-03-03,1,547
2807,2013-03-04,1,1841
2853,2013-03-05,1,1750
2899,2013-03-06,1,1929
2945,2013-03-07,1,1751
2991,2013-03-08,1,1960
3037,2013-03-09,1,1337
3083,2013-03-10,1,538
3129,2013-03-11,1,1874
3175,2013-03-12,1,1734
3221,2013-03-13,1,1841
3267,2013-03-14,1,1751
3313,2013-03-15,1,1812
3359,2013-03-16,1,1238
3405,2013-03-17,1,561
3451,2013-03-18,1,1696
3497,2013-03-19,1,1728
3543,2013-03-20,1,1879
3589,2013-03-21,1,1727
3635,2013-03-22,1,1689
3681,2013-03-23,1,1358
3727,2013-03-24,1,531
3773,2013-03-25,1,1770
3819,2013-03-26,1,1700
3865,2013-03-27,1,1840
3911,2013-03-28,1,1729
3957,2013-03-29,1,474
4003,2013-03-30,1,1002
4049,2013-03-31,1,464
4095,2013-04-01,1,1894
4141,2013-04-02,1,1705
4187,2013-04-03,1,1912
4233,2013-04-04,1,1723
4279,2013-04-05,1,1899
4325,2013-04-06,1,1349
4371,2013-04-07,1,521
4417,2013-04-08,1,1824
4463,2013-04-09,1,1744
4509,2013-04-10,1,1916
4555,2013-04-11,1,1638
4601,2013-04-12,1,1860
4647,2013-04-13,1,1338
4693,2013-04-14,1,525
4739,2013-04-15,1,1804
4785,2013-04-16,1,1757
4831,2013-04-17,1,1807
4877,2013-04-18,1,1607
4923,2013-04-19,1,1737
4969,2013-04-20,1,1335
5015,2013-04-21,1,505
5061,2013-04-22,1,1838
5107,2013-04-23,1,1697
5153,2013-04-24,1,1921
5199,2013-04-25,1,1660
5245,2013-04-26,1,1843
5291,2013-04-27,1,1314
5337,2013-04-28,1,517
5383,2013-04-29,1,1653
5429,2013-04-30,1,1897
5475,2013-05-01,1,613
5521,2013-05-02,1,1763
5567,2013-05-03,1,1847
5613,2013-05-04,1,1347
5659,2013-05-05,1,538
5705,2013-05-06,1,1834
5751,2013-05-07,1,1792
5797,2013-05-08,1,1904
5843,2013-05-09,1,1813
5890,2013-05-10,1,1959
5937,2013-05-11,1,1488
5984,2013-05-12,1,549
6031,2013-05-13,1,1784
6078,2013-05-14,1,1747
6125,2013-05-15,1,1887
6172,2013-05-16,1,1781
6219,2013-05-17,1,1883
6266,2013-05-18,1,1299
6313,2013-05-19,1,497
6360,2013-05-20,1,1732
6407,2013-05-21,1,1692
6454,2013-05-22,1,1865
6501,2013-05-23,1,1753
6548,2013-05-24,1,496
6595,2013-05-25,1,1107
6642,2013-05-26,1,411
6689,2013-05-27,1,1748
6736,2013-05-28,1,1787
6783,2013-05-29,1,1815
6830,2013-05-30,1,1737
6877,2013-05-31,1,1818
6924,2013-06-01,1,1357
6971,2013-06-02,1,430
7018,2013-06-03,1,1882
7065,2013-06-04,1,1785
7112,2013-06-05,1,1845
7159,2013-06-06,1,1815
7206,2013-06-07,1,1885
7253,2013-06-08,1,1279
7300,2013-06-09,1,510
7347,2013-06-10,1,1826
7394,2013-06-11,1,1855
7441,2013-06-12,1,1863
7488,2013-06-13,1,1711
7535,2013-06-14,1,1856
7582,2013-06-15,1,1356
7629,2013-06-16,1,541
7676,2013-06-17,1,1786
7723,2013-06-18,1,1775
7770,2013-06-19,1,1783
